Year,Gender,Subject,CorHigher
2008,Men,Maths,55.9
2009,Men,Maths,57.6
2010,Men,Maths,58.6
2011,Men,Maths,58.9
2012,Men,Maths,58.7
2013,Men,Maths,57.9
2014,Men,Maths,63.1
2015,Men,Maths,64.7
2016,Men,Maths,61.8
2017,Men,Maths,60.5
2018,Men,Maths,60
2019,Men,Maths,60.1
2020,Men,Maths,65.5
2021,Men,Maths,68.5
2022,Men,Maths,64.8
2008,Female,Maths,56.8
2009,Female,Maths,57
2010,Female,Maths,58.4
2011,Female,Maths,58.7
2012,Female,Maths,58
2013,Female,Maths,57.4
2014,Female,Maths,63
2015,Female,Maths,63.5
2016,Female,Maths,61.2
2017,Female,Maths,59.3
2018,Female,Maths,59.5
2019,Female,Maths,59.2
2020,Female,Maths,67.3
2021,Female,Maths,69.8
2022,Female,Maths,64.9
2008,Men,English Language ,56.1
2009,Men,English Language ,56.2
2010,Men,English Language ,58
2011,Men,English Language ,58.9
2012,Men,English Language ,56.9
2013,Men,English Language ,56.3
2014,Men,English Language ,53.6
2015,Men,English Language ,57.6
2016,Men,English Language ,51.5
2017,Men,English Language ,53.5
2018,Men,English Language ,54.6
2019,Men,English Language ,54
2020,Men,English Language ,64.5
2021,Men,English Language ,67.9
2022,Men,English Language ,63.5
2008,Female,English Language ,69.4
2009,Female,English Language ,69.2
2010,Female,English Language ,71.8
2011,Female,English Language ,72.6
2012,Female,English Language ,71.5
2013,Female,English Language ,71.3
2014,Female,English Language ,69.4
2015,Female,English Language ,72.8
2016,Female,English Language ,67.6
2017,Female,English Language ,70.9
2018,Female,English Language ,70.1
2019,Female,English Language ,70.3
2020,Female,English Language ,78.4
2021,Female,English Language ,79.9
2022,Female,English Language ,76.6
2008,Male,Science,58.3
2009,Male,Science,59.2
2010,Male,Science,59.2
2011,Male,Science,60.9
2012,Male,Science,58.1
2013,Male,Science,49.9
2014,Male,Science,56.1
2015,Male,Science,53
2016,Male,Science,49.6
2017,Male,Science,44.8
2008,Female,Science,60.5
2009,Female,Science,61.4
2010,Female,Science,62.7
2011,Female,Science,65.3
2012,Female,Science,63.4
2013,Female,Science,56
2014,Female,Science,62
2015,Female,Science,59.8
2016,Female,Science,55.9
2017,Female,Science,51
2008,Male,English Literature,63.9
2009,Male,English Literature,67.3
2010,Male,English Literature,70.4
2011,Male,English Literature,72.6
2012,Male,English Literature,70.1
2013,Male,English Literature,70.3
2014,Male,English Literature,68.7
2015,Male,English Literature,67.7
2016,Male,English Literature,66.7
2017,Male,English Literature,64.7
2018,Male,English Literature,65.3
2019,Male,English Literature,66.1
2020,Male,English Literature,73.6
2021,Male,English Literature,74.9
2022,Male,English Literature,71.5
2008,Female,English Literature,75.8
2009,Female,English Literature,79.1
2010,Female,English Literature,81.9
2011,Female,English Literature,84.2
2012,Female,English Literature,82.3
2013,Female,English Literature,82.8
2014,Female,English Literature,82.8
2015,Female,English Literature,81.9
2016,Female,English Literature,81.9
2017,Female,English Literature,79.2
2018,Female,English Literature,80.5
2019,Female,English Literature,80.8
2020,Female,English Literature,85.9
2021,Female,English Literature,85.7
2022,Female,English Literature,83.6
