Year,Gender,CorHigher
2008,Male,63
2009,Male,65.3
2010,Male,66.5
2011,Male,64.7
2012,Male,64.8
2013,Male,64.6
2014,Male,63.6
2015,Male,63.8
2016,Male,63.1
2017,Male,62.6
2018,Male,61.1
2019,Male,61.8
2020,Male,76.9
2021,Male,74.9
2022,Male,70.8
2008,Female,80.4
2009,Female,82.2
2010,Female,83.3
2011,Female,82.3
2012,Female,83.1
2013,Female,82.7
2014,Female,82.5
2015,Female,82.5
2016,Female,81.8
2017,Female,81.5
2018,Female,81.6
2019,Female,81.8
2020,Female,91.3
2021,Female,90
2022,Female,87.1
