Year,Gender,CorHigher
2008,Male,55.9
2009,Male,57.6
2010,Male,58.6
2011,Male,58.9
2012,Male,58.7
2013,Male,57.9
2014,Male,63.1
2015,Male,64.7
2016,Male,61.8
2017,Male,60.5
2018,Male,60
2019,Male,60.1
2020,Male,65.5
2021,Male,68.5
2022,Male,64.8
2008,Female,56.8
2009,Female,57
2010,Female,58.4
2011,Female,58.7
2012,Female,58
2013,Female,57.4
2014,Female,63
2015,Female,63.5
2016,Female,61.2
2017,Female,59.3
2018,Female,59.5
2019,Female,59.2
2020,Female,67.3
2021,Female,69.8
2022,Female,64.9
