Year,Subject,Grade4orHigher
2008,PE,62.1
2009,PE,64.1
2010,PE,67.8
2011,PE,70.4
2012,PE,69.9
2013,PE,69.4
2014,PE,67.9
2015,PE,68.2
2016,PE,65.6
2017,PE,65.6
2018,PE,66.6
2019,PE,68.8
2020,PE,83.2
2021,PE,84.7
2022,PE,79.8
2008,Art,63
2009,Art,65.3
2010,Art,66.5
2011,Art,64.7
2012,Art,64.8
2013,Art,64.6
2014,Art,63.6
2015,Art,63.8
2016,Art,63.1
2017,Art,62.6
2018,Art,61.1
2019,Art,61.8
2020,Art,76.9
2021,Art,74.9
2022,Art,70.8
2008,English,56.1
2009,English,56.2
2010,English,58
2011,English,58.9
2012,English,56.9
2013,English,56.3
2014,English,53.6
2015,English,57.6
2016,English,51.5
2017,English,53.5
2018,English,54.6
2019,English,54
2020,English,64.5
2021,English,67.9
2022,English,63.5
2008,Maths,55.9
2009,Maths,57.6
2010,Maths,58.6
2011,Maths,58.9
2012,Maths,58.7
2013,Maths,57.9
2014,Maths,63.1
2015,Maths,64.7
2016,Maths,61.8
2017,Maths,60.5
2018,Maths,60
2019,Maths,60.1
2020,Maths,65.5
2021,Maths,68.5
2022,Maths,64.8
