Year,Gender,CorHigher
2008,Male,62.1
2009,Male,64.1
2010,Male,67.8
2011,Male,70.4
2012,Male,69.9
2013,Male,69.4
2014,Male,67.9
2015,Male,68.2
2016,Male,65.6
2017,Male,65.6
2018,Male,66.6
2019,Male,68.8
2020,Male,83.2
2021,Male,84.7
2022,Male,79.8
2008,Female,63.4
2009,Female,66.2
2010,Female,69.2
2011,Female,71.7
2012,Female,71.4
2013,Female,72.3
2014,Female,71.4
2015,Female,72.3
2016,Female,71.5
2017,Female,72.4
2018,Female,76.2
2019,Female,77.1
2020,Female,89.5
2021,Female,90.9
2022,Female,85.6
